;Latitude;Longitude;cluster
1037;43.334;21.918;-1
1038;44.858;10.374;62
1039;50.856;4.38;34
1040;52.512;13.449;58
1041;50.86;4.298;-1
1042;51.514;7.08;19
1043;48.648;9.432;-1
1044;57.172;-2.134;90
1045;54.326;10.184;49
1046;51.612;7.51;-1
1047;50.856;4.376;34
1048;52.46;13.437;-1
1049;51.198;4.468;35
1050;50.39;8.072;-1
1051;50.846;4.326;-1
1052;51.152;4.456;35
1053;51.936;5.9;24
1054;47.986;7.898;10
1055;52.036;8.614;41
1056;51.994;5.692;24
1057;50.86;4.286;-1
1058;47.466;9.534;-1
1059;48.884;8.696;-1
1060;42.663;23.273;-1
1061;52.13;5.648;-1
1062;43.144;24.684;-1
1063;42.02;23.094;-1
1064;50.812;4.422;-1
1065;51.042;3.472;36
1066;50.852;3.816;36
1067;42.644;23.264;-1
1068;50.786;4.332;-1
1069;48.184;11.504;12
1070;51.106;3.684;36
1071;50.846;4.406;34
1072;51.194;3.8;36
1073;50.884;4.322;-1
1074;52.982;6.662;38
1075;50.92;11.612;-1
1076;44.478;20.302;77
1077;53.398;-1.496;86
1078;51.334;3.244;37
1079;51.058;13.712;55
1080;48.812;9.116;-1
1081;50.918;12.74;53
1082;48.75;9.078;-1
1083;52.562;13.418;-1
1084;51.25;6.778;17
1085;50.938;3.896;-1
1086;51.45;-0.24;85
1087;47.064;15.444;59
1088;51.178;4.852;-1
1089;51.999;8.594;41
1090;53.408;13.918;-1
1091;44.792;10.358;62
1092;45.46;9.24;61
1093;50.866;4.314;-1
1094;51.186;4.448;35
1095;50.828;4.388;34
1096;50.652;6.172;21
1097;51.154;16.94;73
1098;44.91;8.63;-1
1099;45.404;12.148;65
1100;57.548;-2.024;90
1101;50.894;5.296;32
1102;51.922;8.896;41
