;cluster;Latitude;Longitude
815;-1;51.502;7.414
816;43;51.576;0.194
817;44;53.388;-1.504
818;-1;48.818;2.322
819;27;51.278;12.398
820;-1;48.692;8.182
821;31;46.988;15.47
822;-1;56.976;24.168
823;25;49.43;11.412
824;0;48.89;9.191
825;-1;49.022;12.096
826;43;51.698;-0.292
827;7;51.05;7.108
828;37;52.172;21.544
829;8;51.448;6.65
830;-1;50.966;10.07
831;37;52.106;21.024
832;-1;42.651;23.335
833;17;51.002;4.356
834;4;47.684;9.204
835;29;52.444;13.578
836;-1;49.412;20.956
837;36;54.084;18.798
838;-1;48.288;8.726
839;22;52.37;9.342
840;45;48.092;-1.382
841;26;53.11;8.468
842;-1;48.791;8.964
843;8;51.488;6.668
844;16;50.916;4.698
845;-1;50.87;20.682
846;-1;57.696;11.944
847;47;59.512;18.05
848;47;59.302;18.108
849;-1;42.692;23.332
850;22;52.728;9.23
851;3;50.032;8.784
852;29;52.522;13.454
853;21;51.938;8.464
854;-1;48.886;9.426
855;-1;51.486;6.95
856;-1;42.685;23.301
857;0;48.812;9.128
858;17;50.872;4.312
859;-1;49.968;9.062
860;28;51.032;13.708
861;-1;51.528;6.952
862;23;53.046;10.512
863;-1;46.778;10.17
864;40;42.685;23.356
865;-1;50.854;6.454
866;17;50.746;4.272
867;-1;51.748;19.39
868;34;50.078;19.968
869;-1;60.39;5.344
870;23;53.754;9.922
871;35;51.066;16.99
872;24;48.73;11.566
873;-1;42.646;23.638
874;21;51.91;8.37
875;31;47.078;15.462
876;27;50.536;12.688
877;24;48.806;11.772
878;24;47.944;11.414
879;29;52.512;13.52
880;29;52.468;13.776
881;23;53.674;10.102
882;34;50.596;17.648
883;44;53.354;-1.48
884;3;50.098;8.726
885;27;50.83;12.834
886;29;52.516;13.318
887;29;52.146;12.844
888;-1;42.612;23.342
889;22;52.456;10.85
890;-1;50.308;9.27
891;-1;51.522;6.302
892;16;50.872;4.73
893;3;50.104;8.754
894;29;52.488;13.462
895;42;43.566;27.824
896;24;48.364;10.904
897;37;52.194;21.006
898;45;48.086;-1.652
899;39;45.596;5.284
900;24;48.122;11.536
901;29;52.524;13.694
902;2;49.401;8.64
903;29;52.646;13.526
904;-1;52.184;5.772
905;-1;42.684;23.322
906;-1;42.686;23.374
907;-1;46.034;14.496
908;42;43.202;27.92
909;24;48.148;11.594
910;34;50.772;19.67
911;23;53.52;10.104
912;15;50.988;5.194
913;0;48.786;9.17
914;37;51.528;21.204
915;37;52.192;20.9
916;-1;51.464;6.968
917;3;50.116;8.424
918;-1;42.664;23.24
919;11;52.0;5.132
920;28;51.108;13.622
921;35;51.072;17.036
922;0;48.887;9.196
923;-1;50.858;-1.778
924;25;49.61;11.016
925;-1;48.82;2.346
926;48;55.686;37.566
927;22;52.334;9.506
928;36;53.928;18.522
929;-1;50.934;3.162
930;42;43.366;28.068
931;-1;43.848;25.958
932;17;50.894;4.374
933;34;49.694;19.16
934;0;48.762;9.178
935;23;53.578;9.974
936;-1;48.806;2.236
937;17;50.876;4.382
938;16;50.874;4.698
939;-1;50.15;8.15
940;14;52.03;4.69
941;44;53.412;-1.328
942;-1;44.508;11.128
943;39;45.192;5.692
944;-1;50.496;8.196
945;31;47.072;15.43
946;21;51.99;9.27
947;-1;49.99;7.37
948;-1;52.098;7.59
949;-1;45.802;13.53
950;-1;51.574;7.706
951;6;47.988;7.854
952;24;48.102;11.62
953;24;48.122;11.578
954;17;50.86;4.378
955;26;53.126;8.76
956;35;51.282;17.998
957;3;50.124;8.65
958;17;50.846;4.394
959;34;50.7;18.156
960;17;50.932;4.442
961;-1;56.934;24.072
962;-1;51.642;7.668
963;-1;42.692;23.324
964;-1;50.822;15.79
